,job_title,job_company,job_loction,job_summary,job_ratings
22,SQA Trainee,Contour Software,Karachi,"Constellation Home Builder Systems (CHS) is the leading software vendor exclusively focused on the homebuilding industry.
Problem analysis and problem-solving.",3.9
23,Research Analyst / Statistician,AlKHALEEJ CLINICS,Karachi,"Should have expertise to run SPSS data Program.
Having Educational Background of Statistics / Life Sciences / Computer Sciences.
Computer Skills is a must.",
24,Analytics and Insights Manager,Procter & Gamble,Karachi,"Bachelors or master’s degree at Maths, Statistics, Business Analytics, Computer Science, Engineering, Quantitative social sciences e.g., Economics.",4.1
25,Data Architect,HBL,Karachi,"Design and build data models to fulfil the strategic data needs of the business.
Provide input into data dictionaries.",3.9
26,Data Scientist,Center for Non-Communicable Diseases-CNCD,Karachi,"Knowledge of data science, big data concepts.
The Center for Non-Communicable Diseases (CNCD),* is looking for an experienced & qualified person for the…",
27,Junior Network & System Engineer,UBL Funds,Karachi,"*Education*: Graduate in Computer Sciences from any foreign or HEC recognized university.
*Experience*: At least 1 to 2 years’ experience in Desktop & Network…",
28,Junior Python Developer,Sky Rocket,Karachi,"Bachelor’s degree in computer science.
Your primary focus will be to learn the codebase, gather user data, and respond to requests from senior developers.",
29,Data Scientist (Mid Level),NexDegree,Karachi,"Wrangle client and public data to create datasets suitable for appropriate modeling tasks.
Experience with non-structured data settings e.g. vision and NLP is a…",
30,Computer Vision Engineer,Optimizia,Karachi,"Working with the data science team to research, develop, evaluate and optimize various computer vision and deep learning models for different problems.",
31,Manager,NielsenIQ,Karachi,"Expertise in online data collection.
Experience of and understanding of basic data analysis.
This role combines data analysis and client consultation from the…",
32,Manager Call Center,Cincore Consulting,Karachi,"Utilizing software tools and managing data.
Bachelor’s degree in Arts/Science or relevant discipline from an HEC-recognized University.",
33,Chief Data Scientist(Ai/ML) (Karachi based),Ascend HR,Karachi,"3+ years of experience working in data analytic teams of large projects dealing with data automation, business analytics, AI, Machine Learning, and data…",
34,"Consultant / Senior Consultant, Climate Change and Sustainab...",EY,Karachi,"Undergraduate degree (or equivalent) in a relevant discipline, for example engineering or environmental science.
To qualify for the role, you must have.",4.0
35,Technical content writer Intern,Squarera (A DataPillar Company),Karachi,"Applicants should be enrolled in a computer science degree.
Must be able to write content for websites, products, services, social posts, course descriptions,…",
36,Internship - Microsoft .Net Developer,TeqDirect Software,Karachi,"Proficient with SQL queries, data flow diagrams, ERD diagrams, and Database designing.
We use time doctor to maintain employee attendance.",
37,SQA Engineer,qordata,Karachi,"Data engineering and data sciences skills.
Performing data quality testing and data verification via database queries.
Are experienced in SQL query writing.",
38,Programmer Wordpress Developer JavaScript/CSS FrontEnd Must...,PatientGain.com,Karachi," Create personas through user research and data.
Full-Time Position For Hard Working and Intelligent Software Engineer.
Quality checks on our CRM Dashboard.",
39,"Manager Monitoring, Learning & Evaluation",Greenstar Social Marketing,Karachi,"Education: Master’s degree preferably in public health, social sciences/social work, related field.
Experienced in delivering research utilizing a range of…",4.3
40,4.Trainee Application Developer,Crescent Steel and Allied Products,Karachi,This position is responsible to assist in the development of Oracle reports and application softwares and provide technical support to users.,4.4
41,Data Warehouse Engineer,360factors,Karachi,"Designs, Develops, and Implements data models to visualize and create a big picture view of the data needs of business use cases.",4.2
42,Senior Data Scientist,ONE Technology Services,Karachi,"Work closely with engineering team on building and deploying data analysis systems for large data sets.
Experience with data visualization of large datasets, as…",
43,Country Quality Manager -GTM,Unilever,Karachi,"University degree in technical discipline or general sciences.
Supports MCO interface with Consumer / Customer care lines for alert triggers and feedback data.",4.2
44,Full Stack Developer,Digital Growth Max,Karachi,"Create security and data protection settings.
Work with data scientists and analysts to improve software.
As a Full Stack Developer, you should be comfortable…",
45,"Senior Consultant - Manager, Data analytics, Rapid Innovatio...",EY,Karachi,"This includes data models, storage requirements and migration of data from one system to another.
This includes: Reviewing and assessing of complex data sets,…",4.0
46,System and Network Administrator,Technosys,Karachi,"Experience of data center will be plus.
We are looking for experienced System and Network Administrator, who can design and implement network infrastructure,…",3.3
47,PHP Developer,4 Ace Technologies,Karachi,"Strong competencies in data structures, algorithms, and software design.
BS/MS in Computer Science or related field.
Excellent communication skills in English.",
48,Research Scientist (Decisioning),Afiniti,Karachi,Afiniti uses data science and operations research to enhance human interactions in large enterprises by efficiently pairing customers or tasks with company…,3.3
49,SQA ENGINEER - Karachi,Wavetec,Karachi,"Bachelors in Computer sciences/software engineering.
Testing databases, validations of data flow on backend.
Knowledge of Agile shall be a definite plus.",
50,Cloud Engineer,CubeXS Weatherly (Pvt) Ltd,Karachi,"Working with Senior Manager to deliver the customer services including deployment, data export or import and other applications installation inside VM.",3.4
51,Network Administrator,Hul Hub,Karachi,"Master's or Bachelor's degree in computer science or engineering.
Oversees the configuration of firewall security settings to access permissions groups for…",
52,Backend Engineer - Python,Sastaticket,Karachi,"Solid SQL knowledge and ability to design effective data storage for the task at hand, query performance optimization skills.
 Experience with Apache, Nginx.",
53,Senior Network Engineer,Ibex,Karachi,"Master or Bachelor degree in computer science or engineering.
Oversees the configuration of firewall security settings to access permissions groups for…",2.9
54,SQL Database Administrator,Technosys,Karachi,"Send your updated resume with expected and current salary.
SQL Server 2014/2016 Management.
Window Server 2008/2012/2016.
SQL Server Reporting Services (SSRS).",3.3
55,Business Intelligence Developer,Blutech Consulting Pvt. Ltd.,Karachi,"Connecting to data sources, importing data, and transforming data for Business Intelligence.
Develop procedures and scripts for data migration.",
56,Node Js. Developer,ABTACH Ltd,Karachi,"Bachelor's degree in computer science, information science, or similar.
Implementing effective security protocols, data protection measures, and storage…",
57,Data Delivery Manager,Perks HR Pvt. Ltd.,Karachi,"Assist with data analysis, business analysis, data analytics reporting, and technical documentation.
Collaborate with Other data operations teams.",
58,Business Intelligence Analyst N3226,Nisum,Karachi,"Attention to detail when collecting data and reviewing data fluctuations and anomalies.
Assist in the deployment of data to the data warehouse using ETL tools.",3.9
59,Technical Business Analyst,Speridian Technologies,Karachi,"Create detailed functional requirements and development artifacts such as workflow diagrams, business rules, data mapping spreadsheets, and/or wireframes.",3.9
60,Associate I,PwC,Karachi,"Working as a member of CPT2 also provides the opportunity to directly help clients enhance or tune their preventative, and detective controls on a proactive…",4.0
61,Marketing Technologist,Procter & Gamble,Karachi,Excellent communication skills and proven experience in leading data driven projects from definition through interpretation and execution.,4.1
62,Senior Data Scientist,Bykea,Karachi,"3+ years of work experience in data science, data architecture, data modeling, technical solutions, business intelligence, engineering or other technical…",5.0
63,Project Associate – Digital Literacy,HRSG,Karachi," Interest in computer science content and approaches.
 Ability to read and critically analyze data and situations.
Minimum Qualification Bachelor’s degree.",4.0
64,Senior Data Analyst,IQVIA,Karachi,"Updates the transaction database by replacing the last cycle’s data with the newly received and processed data.
May directly manage 1 or 2 employees.",
65,Database Administrator,PI Pakistan (Pvt.) Ltd,Karachi,Closely monitor the performance of various work groups on the system and make sure data is available to business as per the SLA requirement.,
66,Senior Data Engineer - Advanced Analytics,McKinsey & Company,Karachi,"Experience preparing data for analytics and following a data science workflow.
Ability to work with a myriad of data types (i.e. structured and unstructured),…",4.3
67,Software Engineer (.Net),Chiniot General Hospital,Karachi,"Develop quality software and web/desktop application.
Analyze and maintain existing software application.
Able to discover and fix programming bugs.",3.7
68,Software Quality Assurance Engineer – I,Matrix System (Pvt.) Ltd.,Karachi,"Working knowledge of SQL and relational databases (SQL query writing, analyze data issues, etc.).
Requirements Analysis (Test-case writing, test-data creation,…",
69,Junior OnSite Analyst,GfK,Karachi,"Country Pakistan Job Family For over 80 years, GfK has been a reliable and trusted insight partner for the world’s biggest companies and leading brands who…",3.7
70,Database Administrator,NayaPay,Karachi,"Proficiency in data manipulation languages including MS SQL, Oracle Database, MYSQL and MongoDB.
Monitor system performance and identifying problems.",
71,Software Engineer,Sibisoft Pvt Ltd,Karachi,"Strong JAVA and J2EE application development experience.
Ability to work on multi-priority and time-critical situations.
Bachelor’s degree in computer Science.",
72,Full-Stack WEB Developer (Night Shift),Out Origin,Karachi,"Integrate data from various back-end services and databases.
Write well-designed, testable, efficient code by using best software development practices.",
73,System Engineer-Microsoft,Innolytix Pakistan,Karachi,"Migrating/upgrading experience with messaging platforms (On-Prem Exchange to Exchange Online).
Provide overall Office 365 security expertise including strong…",
74,Country Manager Pakistan IDEM,Abbott Laboratories,Karachi,"Analytical skills to digest and quickly grasp large amounts of data, and to recognize key issues and ideas.
The Country Manager is responsible for the overall…",3.9
75,Medical Quality Manager,Roche,Karachi,"By delivering a healthy Affiliate QMS and applying the below VACC principles and through cross-functional collaborations, the LQR proactively acts in the…",4.2
76,Online Research Analyst,GfK,Karachi,"Classification of Web Shops in POS Manager.
Manual Matching of Physical Shops & Business Partners in POS Manager.
Ensures a high quality in results.",3.7
77,Software Test Engineer,GfK,Karachi,"Country Pakistan Job Family Technology For over 80 years, GfK has been a reliable and trusted insight partner for the world’s biggest companies and…",3.7
78,Software Engineer (.NET),BariTechSol,Karachi,"Bachelors of Computer science or a related discipline from a reputable University.
NET development tools and Databases.
Fresh-3 years of working with .",
79,Python Developer,Cooperative Computing,Karachi,"Strong Python programming experience, specifically utilizing Pandas with a focus on data analysis and visualization.",4.5
80,MU Quality Lead - BSPAN,Unilever,Karachi,"University degree in general sciences or technical discipline.
The role monitor and processes quality data and information used to prepare decisions that…",4.2
81,Junior Android Developers,OMA Emirates LLC,Karachi,"Experience working with data via REST and JSON.
Computer science graduate (BS/BCS/BE(Software Engineering)/MS(Software Engineering)/MCS).",
82,Flutter Developer,Digital Graphiks Pakistan,Karachi,"Good understanding of Object-Oriented Programming, data structures, and architectural components.
Bachelor’s degree in computer science, software development,…",
83,PHP Full Stack Web Developer,Symbiosis Technologies,Karachi,"Integrating data from various back-end services and database.
We are looking for a candidate with PHP background who is dedicated to the craft, writes clean…",
84,Full Stack Developer,AgriDunya,Karachi,"-Create security and data protection settings.
-Work with data scientists and analysts to improve software.
As a Full Stack Developer, you should be comfortable…",
85,Research Analyst- Computer Science/Data Sciences,SysCrowd,Karachi,"SYSCROWD,* a data-driven 360-degree Innovative & Creative Digital Agency offers incredibly satisfying services with clear operational support to its clientele…",
86,Assistant Manager SAP-Solutions,ASL,Karachi,"Periodically clean the master data by archiving it.
Perform mass updates for huge data using LSMW and related tools.
Create SOP for MDM procedures of SCM area.",
87,Back End Developer,Fulcrum Pvt Ltd,Karachi,"Implementation of security and data protection.
Design and implementation of data storage solutions.
2 years of experience as a Back-end/Server-side developer.",
88,IT Project Manager,Mobiz,Karachi,"You are an experienced IT project manager with a track record of successful IT project delivery.
You are capable to manage and coordinate leading any kind of IT…",
89,Chief Technology Officer (Financial Institute),Fulcrum Pvt Ltd,Karachi,"Degree in Information Technology /Computer science.
At least 10 years of experience of which 5 years should be as HoD in leading financial institutions or…",
90,"Senior Reporting & Data Analyst (Remote, international exp)",Infina Health Transportation,Karachi,"Creating security and data protection settings.
B.S. degree in computer science, computer programming, or related field.",
91,Trainee Software Developer (Java),Contour Software,Karachi,"Strong competencies in data structures, algorithms, and software design.
BuildTopia , a product division of Constellation Homebuilder Systems, is a fully…",3.9
92,Data Engineer,NexDegree,Karachi,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
The Data Engineer will support our software developers, database…",
93,"eDiscovery Consultant, Forensic and Integrity Services, Rapi...",EY,Karachi,"Ability to take large sums of data and analyse and visualize the data using industry standard technologies.
Bachelor’s degree in computer science or a related…",4.0
94,Head of Business Zone (South),Pakistan Telecommunication Company (PTCL),Karachi,"Maintain access network data base with GIS mapping,.
Managing design, planning, and operations of local access and GPON (Access, FTTC, FTTH) network.",4.1
95,Assistant General Manager,Minibig Technologies,Karachi,"Track SEO and Google Analytics data an make complex analysis.
Evaluate overall performance by gathering, analyzing and interpreting data and metrics.",
96,Senior Network Administrator,BariTechSol,Karachi,"Knowledge of information security and data leak prevention must.
Perform data backups of servers and users on regular basis.",
97,Node Js Developer,Design Henge,Karachi,"Bachelor's degree in computer science, information science, or similar.
Implementing effective security protocols, data protection measures, and storage…",
98,BigData Engineer,Systems Limited,Karachi,"Master’s or Bachelor’s Degree in engineering science or computer science or a related field.
Strong data modeling skills in RDBMS and NoSQL databases.",4.1
99,Account Manager (Flavors & Ingredients),International Flavors & Fragrances,Karachi,"IT acumen and ability to leverage big data points to enhance commercial performance and customer engagement.
Create and sustain successful partnerships with IFF…",
100,Key Account Manager,Ingredion,Karachi,"Proven track record of grasping technical data and utilizing to close business.
Reporting– Maintains accurate records of all sales activity, including customer…",3.7
101,"Assistant Manager or Manager, Cloud Transformation/Adoption,...",EY,Karachi,"Completed technical higher education in the field of computer engineering, computer science, electronics, information technology, and relevant industry…",4.0
102,Reliability Engineer (Karachi Based),CBRE,Karachi,"Consult with key stakeholders to ensure data is accurate.
Gather statistical data to support reliability predictions that form part of preventative plans.",3.7
103,"Consultant / Senior Consultant, Oracle- Digital Transformati...",EY,Karachi,"A bachelor’s degree or equivalent in a relevant subject such as finance, accounting, computer science or engineering, SCM Certifications (like APICS).",4.0
104,Continuous Improvement Analyst / Business Process Improvemen...,Afiniti,Karachi,"Proficiency in using MS Excel and able to perform basic data analysis.
Compile relevant data of Global Delivery Projects in weekly reports for Senior Management…",3.3
105,Website & SEO Executive,Badar Group of Companies,Karachi,"Understanding of search engine algorithms, data mining tools and ranking methods.
Update regular content on websites for maximum optimization and search engine…",
106,Required Oracle Applications DBA,Human Capital Solutions,Karachi,"Able to perform recovery of the database, data files, tables, indexes, etc.
To Develop, Implement, maintain and Control Company’s Oracle Applications, Databases…",
107,Head of Business Planning and Monitoring,United Bank Limited,Karachi,"To collaborate with business stakeholders to identify opportunities to apply data science, artificial intelligence, and machine learning technologies to deliver…",4.0
108,Senior Manager Global Partnerships,HRSG,Karachi,"Minimum Qualification A university degree, preferably Masters’ degree, in disciplines of humanities or social sciences.",4.0
109,Software Engineer - Backend,VIDIZMO LLC,Karachi,"The position requires exceptional knowledge and skills in Back-end development such as Web API, Service stack, integrations with Cloud PaaS, etc.",
110,PHP/Laravel Developer,Shot Technologies Pvt Ltd,Karachi,"Bachelor’s degree in computer science or a similar field.
You should have in-depth knowledge of object-oriented PHP programming, understanding of MVC designs,…",
111,Senior Software Engineer,UBL Funds,Karachi,"Practical experience of migrating/ converting/ interfacing data from legacy systems.
Develop software solutions by studying information needs; conferring with…",
112,Software Engineer,GfK,Karachi,"Data pre/post-processing using Python, big data handling tools, and technologies.
Bachelor or higher degree in Computer Science or related field.",3.7
113,Manager- Technology Consulting- Technology Transformation- S...,EY,Karachi,"Integrate data and applies judgment in forming practical insights and addressing potential issues, leveraging opportunities and analyses that enable decision…",4.0
114,Android Developer,Digital Dividend,Karachi,"Work with outside data sources and APIs.
Design and build advanced applications for the Android platform.
Collaborate with cross-functional teams to define,…",4.0
115,Mindshare | Associate Business Director,Mindshare,Karachi,"Master’s degree in marketing/media sciences or equivalent from a reputable business school.
In this role, you will be responsible for bringing a highly valued…",3.7
116,ETL/BI Developer,Shispare,Karachi,"Should contribute to logical data model for data warehousing and making data available for downstream consumption.
Strong experience in Data Integration tools.",
117,Business Intelligence Lead,Bykea,Karachi,Run experiments and develop dashboards and data visualizations for cross-functional data driven decision-making.,5.0
118,Pre-Sales Manager for Grid Software Middle East,Siemens,Karachi,Effectively and regularly update all the software opportunities in SieSales (Salesforce) as per the business forecast and maintain data quality.,4.0
119,Business Analyst,Arwaj Technologies (pvt.) Ltd.,Karachi,"Create mind maps, requirement specifications documents, data mappings, diagrams, project scope, user stories, and flowcharts for stakeholders’ review and…",
120,Product Owner,CreditBook,Karachi,"You can drive collaboration across multiple disciplines - data, marketing, operations, and sales.
BS in computer science, engineering, human centred design or a…",
121,Data API/Architect Engineer,Office Field Software House,Karachi,"Your central responsibility as the data architect will be to develop, optimize, and oversee our company’s conceptual and logical data systems.",
122,Scrum Master - Pakistan,Mobiz,Karachi,"You are an experience scrum master with a track record of leading the full life cycle of multiple, simultaneous, projects.",
123,Chief Information Officer(CIO),Executive Search Worldwide,Karachi,Professional Qualification: At least Bachelor/Master's Degree in Computer Science/Information Technology along with Business Administration.,
124,Nodejs Developer,Renexcode,Karachi,"Implementing effective security protocols, data protection measures, and storage solutions.
Bachelors’/Master’s degree in computer science, software or in any…",
125,Flutter Developer,Four Fox,Karachi,"Good understanding of Object-Oriented Programming & data structures.
Database Design Knowledge (Core data, SQL Lite).
Strong & practical Experienced on Flutter.",
126,Senior PHP Developer - Remote Job,DX DIGITAL GROUP,Karachi," Bachelor's degree in computer science or related field.
 Manage backend services and ensure seamless data interchange between server and end users.",
127,Customer Experience Associate,foodpanda Pakistan,Karachi,Acquiring data from primary or secondary data sources and maintain a communication channel with inter/intra departmental teams.,3.8
128,"Power Apps and Flow Specialist (Remote, international exp)",Infina Health,Karachi,"Creating security and data protection settings.
B.S. degree in computer science, computer programming, or related field.",
129,Senior Flutter Developer,Intwish,Karachi,"Work With outside data sources and API.
Design and build advanced applications for the Flutter platform.
Collaborate with cross-functional teams to define,…",
130,Customer Integration Engineer,GfK,Karachi,"Provide technical support via email and calls.
Provide support to fellow support members.
Provide / run moderate to advanced reports for catalog for customers…",3.7
131,Process Manager - Catalog Quality,GfK,Karachi,"Ability for data analysis and database interrogation (Keen interest in working with systems and data).
Excellent data processing, statistics, numerical, and…",3.7
132,Android Developer,Nowasys Services,Karachi,"Work with outside data sources and APIs.
Experience working with remote data via REST and JSON.
You will be working alongside other engineers and developers…",
133,Machine Learning Software Engineer,VIDIZMO LLC,Karachi,1-4 years industry experience in machine learning & deep Learning framework and working with large data sets and system.,
134,National Sales Manager (Consumer Health),IQVIA,Karachi,"Delivers profitability and recognition for the organization by selling and providing services to customers utilizing organization tools, techniques, and…",
135,PHP Developer,Jambro,Karachi,"Integration of data storage solutions MySQL etc.
We’re looking for an experienced PHP Developer who will be responsible for developing and maintaining the…",
136,DevOps Engineer,CloudLogically,Karachi,"Contribute to the design of the data platform.
Working with a cloud-based micro services architecture to support and collaborate with the data platform.",
137,Senior Associate I,PwC,Karachi,We assist clients in understanding and challenging their current risk profiles and develop strategies to build digital confidence by embracing opportunities to…,4.0
138,SQL Database Administrator - Pakistan,Mobiz,Karachi,"Promote security and best-practices related to data privacy for all cloud-based data sources.
Degree in computer science an asset.",
139,.Netcore Developer (Morning Shift),Nixaam,Karachi,"Hands on experience on MSSQL,MYSQL and PostGre sql data base.
Education: *Bachelors in Computer Science, Engineering or a related field.",
140,Senior Software Engineer,GfK,Karachi,"Data pre/post-processing, big data handling tools, and technologies.
Use of pre-trained models with due customization, adaption, and tuning for specific data…",3.7
141,Full Stack Developer,Al-Nafi E-Learning Pvt Ltd,Karachi,"Applied Experience with data-structures.
We are looking for a Full-stack developer, who can manage all tasks related to Full Stack Development.",
142,MicroStrategy Developer,Systems Limited,Karachi,"Collect, refine, and prepare data for analytics and visualization.
Develop, manage, and enhance data models across key metrics to provide best-in-class,…",4.1
143,Software Engineer -Front End,VIDIZMO LLC,Karachi,"Build enterprise-grade web-based applications using the cutting edge technology stack.
Developing secure and scalable software that can serve millions of…",
144,Customer Service Executive with Accounts,Perks HR Pvt. Ltd.,Karachi,"Managing all credit sales including maintenance of up-to-date customer data as well as all credit recoveries.
Ensuring regular maintenance of the shop equipment…",
145,Systems Engineer (Linux Administrator),Transworld Associates Pvt. Ltd,Karachi,"Ensuring data center services and business application's availability.
The Systems Engineer is responsible for effective installation/configuration, operation,…",
146,Node. Js Developer,LN Technologies,Karachi,"Bachelor's degree in computer science, information science, or similar.
Implementing effective security protocols, data protection measures, and storage…",
147,Senior Project/Data Manager (Vehicle Tracking Business-KHI),Ascend HR,Karachi,"*3-5 years of high level experience* working in data analytic teams of *Vehicle tracking Business* dealing with data automation, business analytics, AI, Machine…",
148,Senior Software Engineer,SS&C Technologies,Karachi,"Assist with issues identification and data error correction.
Bachelor's Degree or Advanced degree (MA/MS or better) in computer science, information management,…",
149,m/SIX | Associate Business Director,m/SIX,Karachi,"Master’s degree in marketing/media sciences or equivalent from a reputable business school.
In this role, you will be responsible for bringing a highly valued…",3.8
150,Data Analyst,IQVIA,Karachi,"Updates the transaction database by replacing the last cycle’s data with the newly received and processed data.
May directly manage 1 or 2 employees.",
151,Sr. Back End Developer,Nowasys Services,Karachi,"Outputting data in different formats.
Implementation of security and data protection.
Design and implementation of data storage solutions.",
152,Azure Cloud Engineer - Pakistan,Mobiz,Karachi,"Develop plans and execute application and data migrations from on-premises data centers to Azure.
Mobiz is looking for candidates with deep expertise in Azure…",
153,Product Software Analyst,VIDIZMO LLC,Karachi,We are looking to expand the team of Product Software Analysts to analyze and design all activities during the VIDIZMO product development lifecycle that is to…,
154,Senior Python Developer,NXT Labs,Karachi,"Implement security and data protection solutions.
Developing back-end components to improve responsiveness and overall performance.",
155,Quality Assurance Automation Engineer,Cooperative Computing,Karachi,"Develop and execute test plans, test cases, test data, test scenarios, and other testing-related documentation based on the requirements and technical…",4.5
156,Customer Solutions Analyst,GfK,Karachi,"API models that involves data exchange through REST and SOAP protocols.
Conducting client discovery calls with sales representatives.",3.7
157,Oracle Database Administrator - Pakistan,Mobiz,Karachi,"Degree in computer science an asset.
Strong problem-solving skills; preventing data loss and mitigating database issues is critical to maintaining SLA's.",
158,Junior Angular Developer,ONE Technology Services,Karachi,"Knowledge of data structures libraries like Immutable.js.
Your primary focus will be on developing user interface components and implementing those following…",
159,Content Writer,"Revival Research Institute, LLC",Karachi,"You work with a high attention to detail, reviewing documentation, researching materials and maintaining data systems - all with a sense of urgency aligned with…",
160,Senior Customer Success Manager,GfK,Karachi,"In case of account termination, ensure that the access is disabled and data is down by regular audit of customer’s website, take screenshots or proofs of our…",3.7
161,BI Solutions Manager,Sibisoft Pvt Ltd,Karachi,"Statistical and data mining techniques.
Bachelors or a higher education degree in computer science / engineering.
Help prepare and execute unit tests.",
162,iOS Developer,Fulcrum Pvt Ltd,Karachi,"Implementation of security and data protection.
Creation of mobile apps on iOS using Swift and Objective-C.
Thinking of design using a mobile-first approach.",
163,Senior SQA Automation BE3359,Nisum,Karachi,"Strong understanding of concepts related to computer architecture, data structures, programming practices, SQL, and backend concepts.",3.9
164,iOS Developer,eDesk Solutions,Karachi,"Experience working with remote data via HTTP, REST and JSON.
Design and build applications for the iOS platform.
3+ years of experience in iOS development.",
165,Full Stack Web Developer,Center for Non-Communicable Diseases-CNCD,Karachi,"A developer is responsible for managing the interchange of data between the server and the users.
You will be a part of a full-stack creative team that is…",
166,React.JS Developer (Senior Mid Level),KNYSYS,Karachi,"Prior experience with data structure libraries (e.g., Immutable.js).
The primary focus of the selected candidate would be on developing user interface…",
167,Back-End Developer,NexDegree,Karachi,"Implement security and data protection solutions.
Responsibilities include writing and testing code, debugging programs and integrating applications with third…",
168,Mobile Developer,GoodCore Software Limited,Karachi,"ReactNative with prior experience in Native iOS and Android Development (*Is a must*).
BS / BE in Computer Science (16 years of Education).",
169,Cloud Technical Architect,VeriPark Software Solutions,Karachi,"Experience in building scalable, multi-tier, and data-intense systems.
Minimum of a bachelor’s degree in Computer Science, Engineering or adjacent fields…",
170,SENIOR / MID-LEVEL SOFTWARE ENGINEER,Love For Data,Karachi,"Type of Employment: Full-time (On-site).
Experience: Must have full-time working experience of at least 2.5-5 years in a software firm or any MNC.",
171,Hiring DevOps Engineers- Permanent Remote,BCS Technology,Karachi,"Should have Experience in DataOps and deploying of data related workloads to Production Kubernetes.
As a DevOps Engineer, you will be in charge of the…",
172,Cyber Security Operations Team Lead,Horizon Technologies,Karachi,"Responsible for providing expertise in evaluating, developing, implementing, and maintaining an integrated cyber security operations program to protect the…",
173,Android Developer,Agile HR Consulting,Karachi,"Work with outside data sources and APIs.
Experience working with remote data via REST and JSON.
Qualification: BS/MS degree in Computer Science or Software…",
174,Senior Python Developer,Horizon Technologies,Karachi,"Implement security and data protection solutions.
Python Developer responsibilities include writing and testing code, debugging programs and integrating…",
175,SQL Developer,Mobiz,Karachi,"Degree in computer science an asset.
Data modeling and database design, ensuring data integrity.
Discussing and reviewing database requirements for new/existing…",
176,UI/UX Designer / Graphic Designer,Sapphire Consulting Services,Karachi,"Thorough understanding of data and reports.
Utilize data to define and support hypotheses.
You will be responsible for highly usable and intuitive interface…",3.7
